job-id,job-title,job-listing-date,job-url,job-location-state,job-location-city,job-location-area,job-location-suburb,job-advertiser,job-advertiser-email,job-advertiser-phone,job-classification,job-sub-classification,job-citizenship-required
50898428,Senior Data Scientist,2020-11-06 06:13:12,https://www.seek.com.au/job/50898428,Victoria,Melbourne,Eastern Suburbs,camberwell,Reflect Recruitment Pty Ltd,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50890768,Senior Data Scientist,2020-11-05 22:01:24,https://www.seek.com.au/job/50890768,Victoria,Melbourne,,,FourQuarters Recruitment,,Yes,Information & Communication Technology,Other,
50859345,Senior Data Scientist,2020-11-02 01:20:47,https://www.seek.com.au/job/50859345,Queensland,Brisbane,,,NES Fircroft,,,Information & Communication Technology,Other,
50856897,Senior Data Scientist,2020-11-01 22:11:32,https://www.seek.com.au/job/50856897,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,TAL,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50850753,Senior Data Scientist,2020-10-30 04:57:47,https://www.seek.com.au/job/50850753,Queensland,Brisbane,,,NES Fircroft,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50841554,Senior Data Scientist,2020-10-29 05:00:40,https://www.seek.com.au/job/50841554,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Carsales.com.au,,,Information & Communication Technology,Developers/Programmers,
50822775,Senior Data Scientist | Snowflake | AWS | MarTech,2020-10-27 04:15:57,https://www.seek.com.au/job/50822775,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Discovered People,,,Information & Communication Technology,Developers/Programmers,
50797151,Senior Data Scientist,2020-10-22 04:37:06,https://www.seek.com.au/job/50797151,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,SustainDigital,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50791588,Senior Data Scientist,2020-10-21 21:16:00,https://www.seek.com.au/job/50791588,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Amplify Partners,,,Information & Communication Technology,Developers/Programmers,
50898558,Data Scientist,2020-11-06 06:21:23,https://www.seek.com.au/job/50898558,Australian Capital Territory,ACT,,canberra,NTT Ltd,Yes,Yes,Information & Communication Technology,Database Development & Administration,Yes
50891717,Lead Data Scientist,2020-11-05 23:22:25,https://www.seek.com.au/job/50891717,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Defence Health,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50891498,Data Scientist,2020-11-05 23:04:46,https://www.seek.com.au/job/50891498,Victoria,Melbourne,,,Six Degrees Executive,,Yes,Science & Technology,"Mathematics, Statistics & Information Sciences",
50885434,Data Scientist,2020-11-05 02:53:16,https://www.seek.com.au/job/50885434,Victoria,Melbourne,,,Six Degrees Executive,,Yes,Information & Communication Technology,Business/Systems Analysts,
50873396,Data Scientist,2020-11-03 23:01:22,https://www.seek.com.au/job/50873396,Victoria,Melbourne,,,FourQuarters Recruitment,Yes,,Information & Communication Technology,Other,
50870634,Data Scientist Proteomics,2020-11-03 05:55:56,https://www.seek.com.au/job/50870634,New South Wales,Sydney,Parramatta & Western Suburbs,westmead,Children's Medical Research Institute,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50858343,Software Developer,2020-11-02 00:15:16,https://www.seek.com.au/job/50858343,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Capstone Recruitment,Yes,,Information & Communication Technology,Developers/Programmers,
50850806,Junior Data Scientist,2020-10-30 05:00:27,https://www.seek.com.au/job/50850806,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Correlate Resources,Yes,,Science & Technology,Modelling & Simulation,
50847741,Data Scientist - Oil & Gas OT/IT,2020-10-30 01:46:15,https://www.seek.com.au/job/50847741,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Brunel,Yes,Yes,Information & Communication Technology,Other,
50845610,Data Scientist,2020-10-29 23:15:38,https://www.seek.com.au/job/50845610,Victoria,Melbourne,,,Preacta Recruitment,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50838212,Data Scientist (Defence),2020-10-29 01:01:48,https://www.seek.com.au/job/50838212,South Australia,Adelaide,,edinburgh,Consilium Technology,,,Science & Technology,"Mathematics, Statistics & Information Sciences",Yes
50829938,Data Science / Advanced Analytics Lead,2020-10-28 01:44:43,https://www.seek.com.au/job/50829938,New South Wales,Sydney,,sydney,Michael Page,,Yes,Information & Communication Technology,Developers/Programmers,
50824185,"Team Lead, Data Scientist",2020-10-27 06:00:06,https://www.seek.com.au/job/50824185,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,CitiPower and Powercor,,,Engineering,Electrical/Electronic Engineering,
50823372,Data Scientist,2020-10-27 05:00:09,https://www.seek.com.au/job/50823372,Victoria,Melbourne,Eastern Suburbs,,Veolia Environmental Services,,,Information & Communication Technology,Developers/Programmers,
50822430,Data Scientist (Marketing),2020-10-27 03:51:33,https://www.seek.com.au/job/50822430,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,FXCM,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50806566,Data Scientist,2020-10-23 06:13:55,https://www.seek.com.au/job/50806566,Australian Capital Territory,ACT,,,KPMG,,,Information & Communication Technology,Developers/Programmers,Yes
50805367,Data Scientist,2020-10-23 04:43:32,https://www.seek.com.au/job/50805367,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Modis,Yes,,Information & Communication Technology,Developers/Programmers,
50798812,Data Scientist - Personalisation,2020-10-22 06:31:11,https://www.seek.com.au/job/50798812,Victoria,Melbourne,,alphington,Endeavour Group,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50793936,X3 Data Scientist | Machine Learning & AI,2020-10-22 00:46:20,https://www.seek.com.au/job/50793936,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,CircuIT Recruitment Group,,Yes,Science & Technology,"Mathematics, Statistics & Information Sciences",Yes
50793464,Data Scientist (Remote Opportunity),2020-10-22 00:14:01,https://www.seek.com.au/job/50793464,Australian Capital Territory,ACT,,,Frontline IT and Digital Australia,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
50793451,Data Scientist,2020-10-22 00:12:44,https://www.seek.com.au/job/50793451,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Charterhouse,Yes,,Government & Defence,Government - Local,
50791532,Data Scientist - Modelling Team,2020-10-21 21:01:07,https://www.seek.com.au/job/50791532,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,The Nudge Group,,,Information & Communication Technology,Database Development & Administration,
50789784,Data Scientist,2020-10-21 06:18:11,https://www.seek.com.au/job/50789784,Australian Capital Territory,ACT,,,Ignite Recruitment,,Yes,Information & Communication Technology,Consultants,Yes
50788318,Data Scientist-Multiple!,2020-10-21 04:25:46,https://www.seek.com.au/job/50788318,Australian Capital Territory,ACT,,,Infinite Consulting,,Yes,Information & Communication Technology,Other,Yes
50786699,Data Scientist,2020-10-21 02:33:24,https://www.seek.com.au/job/50786699,New South Wales,Sydney,,,Greythorn,Yes,Yes,Information & Communication Technology,Engineering - Software,
50783110,Data Scientist,2020-10-20 21:40:09,https://www.seek.com.au/job/50783110,Australian Capital Territory,ACT,,,PATH4 Group,Yes,Yes,Information & Communication Technology,Database Development & Administration,Yes
50781655,Data Scientist,2020-10-20 09:13:11,https://www.seek.com.au/job/50781655,Australian Capital Territory,ACT,,,Hays Recruitment,Yes,Yes,Information & Communication Technology,Developers/Programmers,Yes
50780692,Data Scientist - $650 - $720/day,2020-10-20 06:33:05,https://www.seek.com.au/job/50780692,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Talentpool Recruitment,,,Information & Communication Technology,Consultants,
50780514,Data Scientist (various positions),2020-10-20 06:16:25,https://www.seek.com.au/job/50780514,Australian Capital Territory,ACT,,,Recruitment Hive,,Yes,Information & Communication Technology,Other,
50775484,Marketing Data Scientist,2020-10-20 00:16:23,https://www.seek.com.au/job/50775484,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Winning Group,,,Information & Communication Technology,Developers/Programmers,
50771794,Data Scientist - Recommendation Systems,2020-10-19 06:35:14,https://www.seek.com.au/job/50771794,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talent Insights Group,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50771589,Data Scientist,2020-10-19 06:16:08,https://www.seek.com.au/job/50771589,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Preacta Recruitment,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50759817,Data Scientist Lead APAC,2020-10-16 04:56:51,https://www.seek.com.au/job/50759817,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,HCL Australia Services,,,Information & Communication Technology,Business/Systems Analysts,
50758210,Data Scientist,2020-10-16 03:20:05,https://www.seek.com.au/job/50758210,Australian Capital Territory,ACT,,,GMT People,,Yes,Information & Communication Technology,Other,Yes
50756045,Data Scientist,2020-10-16 00:47:37,https://www.seek.com.au/job/50756045,South Australia,Adelaide,,,Hays Recruitment,,Yes,Information & Communication Technology,Other,
50755753,Data Scientist,2020-10-16 00:28:35,https://www.seek.com.au/job/50755753,Australian Capital Territory,ACT,,canberra,Recruitment Hive,Yes,,Information & Communication Technology,Other,Yes
50752359,Data Scientist,2020-10-15 06:54:49,https://www.seek.com.au/job/50752359,Australian Capital Territory,ACT,,,Modis,Yes,Yes,Information & Communication Technology,Consultants,Yes
50746971,Data Scientist,2020-10-15 00:00:50,https://www.seek.com.au/job/50746971,New South Wales,Sydney,North West & Hills District,,Woolworths Group,,,Information & Communication Technology,Engineering - Software,
50733835,Data Scientist,2020-10-13 04:44:55,https://www.seek.com.au/job/50733835,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,FIRESOFT People,,,Information & Communication Technology,Other,
50732163,Data Scientist,2020-10-13 02:49:31,https://www.seek.com.au/job/50732163,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Scalene Group Pty Ltd,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50727338,Lead Data Scientist,2020-10-12 08:09:36,https://www.seek.com.au/job/50727338,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Lendlease,,,Information & Communication Technology,Other,
50722561,Principal Data Scientist,2020-10-12 01:31:54,https://www.seek.com.au/job/50722561,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Blackroc,Yes,Yes,Information & Communication Technology,Consultants,
50722560,Principal Data Scientist,2020-10-12 01:31:54,https://www.seek.com.au/job/50722560,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Blackroc,Yes,Yes,Information & Communication Technology,Consultants,
50721899,Data Scientist,2020-10-12 00:40:31,https://www.seek.com.au/job/50721899,New South Wales,Sydney,,,Tabcorp,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
50721394,Principal Data Scientist,2020-10-12 00:01:09,https://www.seek.com.au/job/50721394,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Blackroc,Yes,Yes,Information & Communication Technology,Consultants,
